epoch,human,origin,speed,battery,temp,dir
1759585592,2025-10-04 08:46:32,DATA,0,90,26,STRAIGHT
1759585600,2025-10-04 08:46:40,TELEMETRY,0,85,26,STRAIGHT
1759585601,2025-10-04 08:46:41,DATA,0,85,26,STRAIGHT
1759585610,2025-10-04 08:46:50,TELEMETRY,0,80,26,STRAIGHT
1759585612,2025-10-04 08:46:52,DATA,0,80,26,STRAIGHT
1759585620,2025-10-04 08:47:00,TELEMETRY,9,75,27,STRAIGHT
1759585623,2025-10-04 08:47:03,DATA,9,75,27,STRAIGHT
1759585628,2025-10-04 08:47:08,TELEMETRY,29,70,28,STRAIGHT
1759585631,2025-10-04 08:47:11,DATA,49,70,28,STRAIGHT
1759585638,2025-10-04 08:47:18,TELEMETRY,59,65,28,STRAIGHT
1759585641,2025-10-04 08:47:21,DATA,59,65,28,STRAIGHT
1759585648,2025-10-04 08:47:28,TELEMETRY,58,60,27,STRAIGHT
1759585652,2025-10-04 08:47:32,DATA,78,60,27,STRAIGHT
1759585656,2025-10-04 08:47:36,TELEMETRY,78,55,27,STRAIGHT
1759585661,2025-10-04 08:47:41,DATA,78,55,27,STRAIGHT
1759585666,2025-10-04 08:47:46,TELEMETRY,78,50,26,STRAIGHT
1759585672,2025-10-04 08:47:52,DATA,78,50,26,STRAIGHT
1759585676,2025-10-04 08:47:56,TELEMETRY,97,45,27,STRAIGHT
1759585682,2025-10-04 08:48:02,DATA,107,45,27,STRAIGHT
1759585686,2025-10-04 08:48:06,TELEMETRY,107,40,27,STRAIGHT
1759585691,2025-10-04 08:48:11,DATA,107,40,27,STRAIGHT
1759585695,2025-10-04 08:48:15,TELEMETRY,107,35,27,STRAIGHT
1759585702,2025-10-04 08:48:22,DATA,107,35,27,STRAIGHT
1759585705,2025-10-04 08:48:25,TELEMETRY,106,30,28,STRAIGHT
1759585713,2025-10-04 08:48:33,DATA,106,30,28,STRAIGHT
1759585715,2025-10-04 08:48:35,TELEMETRY,106,25,29,STRAIGHT
1759585721,2025-10-04 08:48:41,DATA,106,25,29,STRAIGHT
1759585723,2025-10-04 08:48:43,TELEMETRY,106,20,28,STRAIGHT
1759585732,2025-10-04 08:48:52,DATA,106,20,28,STRAIGHT
1759585733,2025-10-04 08:48:53,TELEMETRY,105,15,28,STRAIGHT
1759585742,2025-10-04 08:49:02,DATA,105,15,28,LEFT
1759585743,2025-10-04 08:49:03,TELEMETRY,105,10,27,STRAIGHT
