epoch,human,origin,speed,battery,temp,dir
1759604747,2025-10-04 14:05:47,TELEMETRY,0,100,25,STRAIGHT
1759604757,2025-10-04 14:05:57,TELEMETRY,0,100,25,STRAIGHT
1759604769,2025-10-04 14:06:09,TELEMETRY,5,99,25,STRAIGHT
1759604779,2025-10-04 14:06:19,TELEMETRY,10,98,25,STRAIGHT
1759604789,2025-10-04 14:06:29,TELEMETRY,15,97,25,STRAIGHT
1759604800,2025-10-04 14:06:40,TELEMETRY,65,87,25,STRAIGHT
1759604810,2025-10-04 14:06:50,TELEMETRY,105,79,25,STRAIGHT
1759604820,2025-10-04 14:07:00,TELEMETRY,120,69,25,STRAIGHT
1759604832,2025-10-04 14:07:12,TELEMETRY,120,69,25,LEFT
1759604842,2025-10-04 14:07:22,TELEMETRY,120,69,25,RIGHT
1759604852,2025-10-04 14:07:32,TELEMETRY,120,57,25,RIGHT
1759604864,2025-10-04 14:07:44,TELEMETRY,120,45,25,RIGHT
1759604874,2025-10-04 14:07:54,TELEMETRY,120,45,25,RIGHT
1759604884,2025-10-04 14:08:04,TELEMETRY,120,45,25,RIGHT
1759604894,2025-10-04 14:08:14,TELEMETRY,120,45,25,RIGHT
1759604906,2025-10-04 14:08:26,TELEMETRY,120,45,25,RIGHT
1759604916,2025-10-04 14:08:36,TELEMETRY,120,45,25,RIGHT
1759604926,2025-10-04 14:08:46,TELEMETRY,120,45,25,RIGHT
1759604937,2025-10-04 14:08:57,TELEMETRY,120,45,25,RIGHT
1759604947,2025-10-04 14:09:07,TELEMETRY,120,45,25,RIGHT
1759604957,2025-10-04 14:09:17,TELEMETRY,120,45,25,RIGHT
1759604969,2025-10-04 14:09:29,TELEMETRY,120,45,25,RIGHT
1759604979,2025-10-04 14:09:39,TELEMETRY,120,45,25,RIGHT
1759604989,2025-10-04 14:09:49,TELEMETRY,120,45,25,RIGHT
1759605001,2025-10-04 14:10:01,TELEMETRY,120,45,25,RIGHT
1759605011,2025-10-04 14:10:11,TELEMETRY,120,45,25,RIGHT
1759605021,2025-10-04 14:10:21,TELEMETRY,120,45,25,RIGHT
1759605033,2025-10-04 14:10:33,TELEMETRY,120,45,25,RIGHT
1759605043,2025-10-04 14:10:43,TELEMETRY,120,45,25,RIGHT
1759605053,2025-10-04 14:10:53,TELEMETRY,120,45,25,RIGHT
1759605063,2025-10-04 14:11:03,TELEMETRY,120,45,25,RIGHT
1759605074,2025-10-04 14:11:14,TELEMETRY,120,45,25,RIGHT
1759605084,2025-10-04 14:11:24,TELEMETRY,120,45,25,RIGHT
1759605094,2025-10-04 14:11:34,TELEMETRY,120,45,25,RIGHT
1759605106,2025-10-04 14:11:46,TELEMETRY,120,45,25,RIGHT
1759605116,2025-10-04 14:11:56,TELEMETRY,120,45,25,RIGHT
1759605126,2025-10-04 14:12:06,TELEMETRY,120,45,25,RIGHT
1759605138,2025-10-04 14:12:18,TELEMETRY,120,45,25,RIGHT
1759605148,2025-10-04 14:12:28,TELEMETRY,120,45,25,RIGHT
1759605158,2025-10-04 14:12:38,TELEMETRY,120,45,25,RIGHT
1759605169,2025-10-04 14:12:49,TELEMETRY,120,45,25,RIGHT
1759605179,2025-10-04 14:12:59,TELEMETRY,120,45,25,RIGHT
1759605189,2025-10-04 14:13:09,TELEMETRY,120,45,25,RIGHT
1759605199,2025-10-04 14:13:19,TELEMETRY,120,45,25,RIGHT
1759605211,2025-10-04 14:13:31,TELEMETRY,120,45,25,RIGHT
1759605221,2025-10-04 14:13:41,TELEMETRY,120,45,25,RIGHT
1759605231,2025-10-04 14:13:51,TELEMETRY,120,45,25,RIGHT
1759605243,2025-10-04 14:14:03,TELEMETRY,120,45,25,RIGHT
1759605253,2025-10-04 14:14:13,TELEMETRY,120,45,25,RIGHT
1759605263,2025-10-04 14:14:23,TELEMETRY,120,45,25,RIGHT
1759605274,2025-10-04 14:14:34,TELEMETRY,120,45,25,RIGHT
1759605284,2025-10-04 14:14:44,TELEMETRY,120,45,25,RIGHT
1759605294,2025-10-04 14:14:54,TELEMETRY,120,45,25,RIGHT
1759605306,2025-10-04 14:15:06,TELEMETRY,120,45,25,RIGHT
1759605316,2025-10-04 14:15:16,TELEMETRY,120,45,25,RIGHT
1759605326,2025-10-04 14:15:26,TELEMETRY,120,45,25,RIGHT
1759605338,2025-10-04 14:15:38,TELEMETRY,120,45,25,RIGHT
1759605348,2025-10-04 14:15:48,TELEMETRY,120,45,25,RIGHT
1759605358,2025-10-04 14:15:58,TELEMETRY,120,45,25,RIGHT
1759605368,2025-10-04 14:16:08,TELEMETRY,120,45,25,RIGHT
